name,Type
University of Oxford,[[Collegiate university|Collegiate]] [[research university]]<br />[[Ancient university]]
University of Cambridge,Public
Imperial College London,Public
ETH Zurich,Public
Tsinghua University,Public
Peking University,Public
National University of Singapore,Public
University of Toronto,Public
UCL,Unknown
The University of Tokyo,Unknown
University of Edinburgh,Public
Technical University of Munich,Public
"Nanyang Technological University, Singapore",Unknown
École Polytechnique Fédérale de Lausanne,Public
University of Hong Kong,Public
University of Melbourne,Public
King’s College London,Public
LMU Munich,Unknown
Paris Sciences et Lettres – PSL Research University Paris,Unknown
University of British Columbia,Unknown
Shanghai Jiao Tong University,Public
Fudan University,Public
KU Leuven,Public
London School of Economics and Political Science,Unknown
Universität Heidelberg,Unknown
Delft University of Technology,Public
McGill University,Public
Karolinska Institute,Public
University of Manchester,Unknown
Chinese University of Hong Kong,Public
Monash University,Public
Kyoto University,Public
Zhejiang University,Public
University of Science and Technology of China,Public
Université Paris-Saclay,Unknown
The University of Sydney,Unknown
University of Amsterdam,Public
Seoul National University,[[National university|National]]
The Hong Kong University of Science and Technology,Unknown
Wageningen University & Research,Public
Australian National University,Public
The University of Queensland,Unknown
Institut Polytechnique de Paris,Unknown
Nanjing University,Public
Sorbonne University,Public
Yonsei University (Seoul campus),Unknown
Leiden University,Public
University of Groningen,Public
University of Zurich,Public
University of Bristol,Public
City University of Hong Kong,Public
Korea Advanced Institute of Science and Technology (KAIST),Unknown
UNSW Sydney,Unknown
University of Glasgow,Public
Hong Kong Polytechnic University,Public
Humboldt University of Berlin,Public
RWTH Aachen University,Public
University of Bonn,Public
Charité - Universitätsmedizin Berlin,Unknown
Lomonosov Moscow State University,Unknown
University of Tübingen,Public
KTH Royal Institute of Technology,Public
University of Southampton,Public
Erasmus University Rotterdam,Public
University of Birmingham,Public
Free University of Berlin,Public
University of Copenhagen,Public
McMaster University,Public
University of Sheffield,Public
Lund University,Public
University of Warwick,Public
Aarhus University,Public
University of Alberta,Public
University of Adelaide,Public
University of Göttingen,Public
University of Montreal,Unknown
Ghent University,Public
University of Bern,Public
University of Vienna,Public
University of Helsinki,Public
University of Basel,Public
University of Massachusetts,Public
Vrije Universiteit Amsterdam,Public
Technical University of Denmark,Public
University of Oslo,Public
University of Freiburg,Public
University of Leeds,Public
University of Nottingham,Public
Tohoku University,Public
Trinity College Dublin,Unknown
Queen Mary University of London,Public
University of Hamburg,Public
Technical University of Berlin,Unknown
Maastricht University,Public
Karlsruhe Institute of Technology,Public
Radboud University Nijmegen,Public
Uppsala University,Public
University of Lausanne,Public
The University of Western Australia,Unknown
Sungkyunkwan University (SKKU),Unknown
University of York,Public
University of Technology Sydney,Public
Pohang University of Science and Technology (POSTECH),Unknown
University of Auckland,Public
Sichuan University,Public
University of Barcelona,Public
National Taiwan University (NTU),Unknown
Université Paris Cité,Unknown
University of Bologna,Public
Lancaster University,Public
Huazhong University of Science and Technology,Public
University of Waterloo,Public
University of Cologne,Public
University of Antwerp,Public
TU Dresden,Public
Wuhan University,Public
University of Cape Town,Public
Université Catholique de Louvain,Unknown
Eindhoven University of Technology,Public
Harbin Institute of Technology,Public
University of Liverpool,Public
Newcastle University,Public
Scuola Normale Superiore di Pisa,Public
Durham University,Public
Osaka University,Unknown
University of Würzburg,Public
Beijing Normal University,Public
University of Exeter,Public
University of Ottawa,Public
Macquarie University,Public
Sapienza University of Rome,Public
University of Geneva,Public
University of Twente,Public
Stockholm University,Public
Tongji University,Public
University of Mannheim,Public
Chalmers University of Technology,Private
Cardiff University,Public
Tokyo Institute of Technology,Public
University of Erlangen-Nuremberg,Unknown
University of Macau,Public
University of Münster,Public
University of St Andrews,Public
Ulm University,Unknown
Queensland University of Technology,Public
Ulsan National Institute of Science and Technology (UNIST),[[National university|National]]
Aalborg University,Public
Aalto University,Public
University of Aberdeen,Public
