name,classification
University of Oxford,Public
University of Cambridge,Public
Imperial College London,Public
ETH Zurich,Public
Tsinghua University,Public
Peking University,Public
National University of Singapore,Public
University of Toronto,Public
UCL,Public
The University of Tokyo,Public
University of Edinburgh,Public
Technical University of Munich,Public
"Nanyang Technological University, Singapore",Public
École Polytechnique Fédérale de Lausanne,Public
University of Hong Kong,Public
University of Melbourne,Public
King’s College London,Public
LMU Munich,Public
Paris Sciences et Lettres – PSL Research University Paris,Public
University of British Columbia,Public
Shanghai Jiao Tong University,Public
Fudan University,Public
KU Leuven,Public
London School of Economics and Political Science,Public
Universität Heidelberg,Public
Delft University of Technology,Public
McGill University,Public
Karolinska Institute,Public
University of Manchester,Public
Chinese University of Hong Kong,Public
Monash University,Public
Kyoto University,Public
Zhejiang University,Public
University of Science and Technology of China,Public
Université Paris-Saclay,Public
The University of Sydney,Public
University of Amsterdam,Public
Seoul National University,Public
The Hong Kong University of Science and Technology,Public
Wageningen University & Research,Public
Australian National University,Public
The University of Queensland,Public
Institut Polytechnique de Paris,Public
Nanjing University,Public
Sorbonne University,Public
Yonsei University (Seoul campus),Private
Leiden University,Public
University of Groningen,Public
University of Zurich,Public
University of Bristol,Public
City University of Hong Kong,Public
Korea Advanced Institute of Science and Technology (KAIST),Public
UNSW Sydney,Public
University of Glasgow,Public
Hong Kong Polytechnic University,Public
Humboldt University of Berlin,Public
RWTH Aachen University,Public
University of Bonn,Public
Charité - Universitätsmedizin Berlin,Public
Lomonosov Moscow State University,Public
University of Tübingen,Public
KTH Royal Institute of Technology,Public
University of Southampton,Public
Erasmus University Rotterdam,Public
University of Birmingham,Public
Free University of Berlin,Public
University of Copenhagen,Public
McMaster University,Public
University of Sheffield,Public
Lund University,Public
University of Warwick,Public
Aarhus University,Public
University of Alberta,Public
University of Adelaide,Public
University of Göttingen,Public
University of Montreal,Public
Ghent University,Public
University of Bern,Public
University of Vienna,Public
University of Helsinki,Public
University of Basel,Public
University of Massachusetts,Public
Vrije Universiteit Amsterdam,Public
Technical University of Denmark,Public
University of Oslo,Public
University of Freiburg,Public
University of Leeds,Public
University of Nottingham,Public
Tohoku University,Public
Trinity College Dublin,Private
Queen Mary University of London,Public
University of Hamburg,Public
Technical University of Berlin,Public
Maastricht University,Public
Karlsruhe Institute of Technology,Public
Radboud University Nijmegen,Public
Uppsala University,Public
University of Lausanne,Public
